test,arch,platform,status,extra_args,handler,handler_time,ram_size,rom_size
tests/kernel/threads/dynamic_thread/kernel.threads.dynamic,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/tls/kernel.threads.tls,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/tls/kernel.threads.tls.userspace,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_stack/kernel.threads.thread_stack,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_stack/kernel.threads.armv8m_mpu_stack_guard,riscv32,hifive1,skipped,CONF_FILE=prj_armv8m_mpu_stack_guard.conf,renode,,0,0
tests/kernel/threads/no-multithreading/kernel.threads.no-multithreading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_error_case/kernel.threads.error.case,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_apis/kernel.threads.apis,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_apis/kernel.threads.apis.pinonly,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_init/kernel.threads.init,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sleep/kernel.common.timing,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/stack/stack/kernel.stack.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.tls,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.misra,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.nano32,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.nano64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/device/kernel.device,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/device/kernel.device.pm,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/profiling/profiling_api/kernel.common.profiling,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/spinlock/kernel.multiprocessing.spinlock,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arm_baseline,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arm_baseline.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arm_mainline,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.disabled,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arc,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work/kernel.work.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work/kernel.work.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/user_work/kernel.work.user,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work_queue/kernel.workqueue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work_queue/kernel.workqueue.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue.sam,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue.nsim,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_api/kernel.mailbox.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_api/kernel.mailbox.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_usage/kernel.mailbox.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_usage/kernel.mailbox.usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt.x86_64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt.x86,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/smp/kernel.multiprocessing.smp,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/smp/kernel.multiprocessing.smp.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/starve/kernel.timer.starve,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/starve/kernel.timer.starve.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_monotonic/kernel.timer.monotonic,riscv32,hifive1,skipped,,renode,,0,0
